Industry Name and Address,Distt,Sector,Valid relevantConsents under Air and Water Act and Authorization under HW Rules(YES / NO)*(Choose YES Only When all Relevant Consent and Authorization are valid),"If relevant consents under Air and Water Act and Authorization under HW RulesNot valid,Action taken by SPCB",Compliance Status(Complied = 1)(Non-Complied = 0)(Self Closed = 2) ,"If not complied,Action taken by SPCB",OCEMS Connectivity Status(Connected = 1)(Not-Connected = 0)(Closed=2),Remark(Legal Action etc)
"Vibrant Pharma Chem Private Limited, KIADB Industrial Area, Raichur Growth Centre, Raichur",Raichur,Bulk Drug and Pharmaceuticals,YES,"Applied for renewal of HWM authorization, application is under process",1,,1,"Applied for renewal of HWM authorization, application is under process"
"R-Chem (Somanahalli) Pvt Limited, Plot No.122A, Humnabad Industrial Area, Humnabad Taluk, Bidar District",Bidar,Bulk Drug and Pharmaceuticals,YES,,1,,1,
"Gland Chemicals Private Limited, Plot No. 30A &B, KIADB Industrial Area, Malur, Kolar District",Kolar,Bulk Drug and Pharmaceuticals,YES,Consent refused on 19.01.18,1,,1," Operating without EC, Consent refused on 19.01.18"
"Sri Sai Amrutha Pharma Private Limited, Plot No. 53,54,73 & &4, KIADB Indutrial Area, Raichur Growth Centre, Raichur",Raichur,Bulk Drug and Pharmaceuticals,,,2,,2,Closed
"Larsen Pharma Ltd., (Previously Sasank Biotech Limited,) Plot No. 120 to 124, KIADB Industrial Area, Raichur Growth Centre, Raichur",Raichur,Bulk Drug and Pharmaceuticals,YES,,1,,1,
"Sparkvee Fine Chemicals Private Limited, Plot No. 55,56,71 & 72, KIADB Industrial Area, Raichur Growth Centre, Raichur",Raichur,Bulk Drug and Pharmaceuticals,YES,,1,,1,
"Gomti Pharma Chem, Plot No. 17F, KIADB Industrial Area, Bidadi, Ramaqnagaram Taluk and District",Ramanagaram,Bulk Drug and Pharmaceuticals,YES,,1,,1,
"Shreegen  Pharma, Plot No. 135 F , Kolhar Industrial Area, Bidar",Bidar,Bulk Drug and Pharmaceuticals,YES,,1,,1,
"Sridhandanda Laboratories, Plot No.96, Kolhart Industrial Area, Bidar",Bidar,Bulk Drug and Pharmaceuticals,,,2,,2,Closed
"Suryakala Laboratories, Plot No. 131, Kolhar Industrial Area, Bidar",Bidar,Bulk Drug and Pharmaceuticals,YES,,1,,1,
"SN2 Asymmetric Private Limited, Plot No.94, Kolhar Industrial Area, Bidar",Bidar,Bulk Drug and Pharmaceuticals,YES,,2,,1,
"Synth chiral Private Limited, Plot No.53B and 54P, Kolhar Industrial Aerea, Bidar",Bidar,Bulk Drug and Pharmaceuticals,NO,"Closure order issued 
10.06.16",0,"Closure order issued 
10.06.16",0,Closure order issued by KSPCB on10.06.16 and direction issued by SEIAA for operating without EC
"Stereo Drugs Private Limited,  Plot No.183, Kolhar Industrial Aerea, Bidar",Bidar,Bulk Drug and Pharmaceuticals,NO,"Closure order issued 
10.06.16",0,"Closure order issued 
10.06.16",1,Closure order issued by KSPCB on10.06.16 and direction issued by SEIAA for operating without EC
"Sri Lakshmi Chemicals Private Limited,  Plot No.73D, Kolhar Industrial Aerea, Bidar",Bidar,Bulk Drug and Pharmaceuticals,NO,"Directions issued  by SEIIA on 13.06.16  for operating without EC. 
Closure order issued by CPCB is  revoked on 01.08.2017",1,,1,"Directions issued  by SEIIA on 13.06.16  for operating without EC. 
Closure order issued by CPCB is  revoked on 01.08.2017"
"Wholer Laboratories  Private Limited,  Plot No.123 & 124, Kolhar Industrial Aerea, Bidar",Bidar,Bulk Drug and Pharmaceuticals,NO,"NPD issued
08.06.16",0,"NPD issued
08.06.16",0,NPD issued on 08.06.16 for operating without valid EC
"P.R  Drugs   Private Limited,  Plot No.92, Kolhar Industrial Aerea, Bidar",Bidar,Bulk Drug and Pharmaceuticals,YES,,1,,1,Yet to revoke closure order by CPCB
"Jupiter Life Sciences   Private Limited,  Plot No.24, Kolhar Industrial Aerea, Bidar",Bidar,Bulk Drug and Pharmaceuticals,,,2,,2,Closed
"Hexagon Bio Pharma (P) Ltd., Plot No.11-D, KIADB, Indl, Arear, Doddaballapur",Bangalore Rural,Bulk Drug and Pharmaceuticals,,,2,,1,closed
"Samarth Life sciences oPvt Ltd., Plot No. 191 A, Vasantha Narasapura KIADB Industrial Area, Tumkur-572 106.",Tumkur,Bulk Drug and Pharmaceuticals,YES,,1,,0,
"Raichem Medicare Private Limited, Plot No.25 & 26, KIADB Industrial Area, Raichur Growth Centre, Raichur",Raichur,Bulk Drug and Pharmaceuticals,YES,,1,,1,
"V P L Chemicals Private Limited, Plot No.64, KIADB Industrial Area, Somapura, Dabaspet, Nelamangala Taluk, Bangalore Rural District",Bangalore Rural,Bulk Drug and Pharmaceuticals,YES,,1,,1,
"Kumar Organics Products (p) Ltd.,  Plot No.60/65, Road No.3,,Jigani Industrial Area, Anekal Taluk, Bangalore. ",Bangalore,Bulk Drug and Pharmaceuticals,NO,NPD issued (19.08.17),1,NPD issued (19.08.17),0,NPD issued for operating without valid EC on 19.08.17
"Jayanth Life Sciences Private Limited, Plot No. 29P(1), KIADB Industrial Area, Raichur Growth Centre, Raichur",Raichur,Bulk Drug and Pharmaceuticals,YES,,1,,1,
"Phona Lab Shed No.76A & 77, KSSIDC Industrial Area, Metagalli Post, Hebbal, Mysore-16",Mysore,Bulk Drug and Pharmaceuticals,YES,,1,,0,
"Ksatriya Laboratories Private Limitd, Plot No 106 & 107/A KIADB Industrial Area, Humnabad, Bidar district",Bidar,Bulk Drug and Pharmaceuticals,YES,,1,,1,
"SRC laboratories Private Limited, Plot No. 198 & 199 KIADB Industrial Area, Raichur Growth Centre, Raichur",Raichur,Bulk Drug and Pharmaceuticals,YES,,1,,1,
Phikon Bio Tech Private Limited Yashavanthapura Bangalore,Bangalore,Bulk Drug and Pharmaceuticals,,,2,,2,Closed
"Hikal Ltd., No.32/1 KalenaAgrahara Banneraghatta Road , Bangalore  District. ",Bangalore,Bulk Drug and Pharmaceuticals,,,2,,2,Permanently closed
"Anthem Biosciences Private Limited, Plot No.276 P, 277 P II Phase Harohalli Industrial Area Kanakapura taluk Ramanagaram district",Ramanagaram,Bulk Drug and Pharmaceuticals,YES,,1,,1,
Seutic Labs Private Limited (Formerly Vasista Life Science Private Limited) Plot No 4P2 Kiadb Ind Area Humnabad Bidar,Bidar,Bulk Drug and Pharmaceuticals,YES,Applied for  HWM authorization ,1,,0,
"Lakhmi Durga Intermediates Private Limited Plot No. 94,95, Humnabad Industrial Area Bidar",Bidar,Bulk Drug and Pharmaceuticals,NO,PH conducted on 22.09.17 for opearting without EC,1,,1,PH conducted on 22.09.17 for opearting without EC
Millennium Chemi Pharma (Mysore Private Limited Plot No 49 Mysore-Belagola Industrial area Metagalli Mysore,Mysore,Bulk Drug and Pharmaceuticals,YES,,1,,NA,
Astra Zeneca India Private Limited 12 th Mail Ballary Road Yelahanka Bangalore,Bangalore,Bulk Drug and Pharmaceuticals,YES,,1,,1,Bulk drug manufacturing closed .Only formulation . To be deleted
"Aditya Birla Chemicals (India) Ltd., (Formerly Solaris ChemTech Ltd), Binaga, Karwar, U.K District",Uttara Kannada,Caustic soda,YES,,1,,1,
"A.C.C Limited - New Wadi plant, P.O. Wadi-585 225 Gulbarga District. ",Gulberga,Cement,YES,,1,,1,Directions issued  by CPCB to submit action plan to comply with emission Norms on 06.09.17
"A.C.C. Limited - Old Wadi Plant, P.O. Wadi-585 225 Gulbarga District.",Gulberga,Cement,YES,,1,NPD issued on 31.05.17,1,Directions issued  by CPCB to submit action plan to comply with emission Norms on 06.09.17
"ACC Ltd, Kudithini Cement Works, Kurugodu Road, Kudithini Billage-585103, Bellary.",Ballary,Cement,YES,,1,,1,
"ACC Ltd, Thondebhavi village, Gouribidanur Tq,  Chikkaballapur - 561213.",Chikkaballapura,Cement,YES,,1,,1,
"Bagalkot Udyog Ltd.,(Formerly Kanoria Industries Ltd,). Bagalkot Cement Division, Bagalkot District.",Bagalkot,Cement,YES,,1,,1,
"Chettinadu Cement Corporation Limited, Sangem k Village, Chincholi Taluk, Gulberga District",Gulberga,Cement,YES,,1,,1,Directions issued  by CPCB to submit action plan to comply with emission Norms on 06.09.17
"Ramco Cement Ltd, (Madras Cements Ltd.,)Previously Karnataka Minerals & Manf. Co. Ltd.), Mathod, Hosadurga Taluk, Chitradurga District. ",Chitradurga,Cement,YES,,1,,1,
"Ultratech Cements                    (Rajashree Cements) (ISO 14000), Adityanagar,  Malkhed Road, Sedam Taluk, Gulbarga District.",Gulberga,Cement,YES,,1,,1,Directions issued  by CPCB to submit action plan to comply with emission Norms on 06.09.17
Vasavadatta Cements (ISO 14000) Sedam-585 222 Gulbarga District.,Gulberga,Cement,YES,,1,,1,Directions issued  by CPCB to submit action plan to comply with emission Norms on 06.09.17
"JAYPEE (Zawar) Cements Pvt. Limited, Shahabad, Gulbarga",Gulberga,Cement,YES,,1,,1,
"Kalaburagi Cement Private Limited (Vicat Sagar Cement Limited), Sy. No. 1 to 138, Chatrasal Village, Chincholi Taluk, Gulberga District",Gulberga,Cement,YES,,1,,1,
"J K Cement Works Muddapura village, Mudhol Taluk, Bagalkot District",Bagalkot,Cement,YES,,1,,1,Directions issued  by CPCB to submit action plan to comply with emission Norms on 06.09.17
"Dalmia Cements Limited, Yadawad Village, Gokak Taluk, Belgaum District. ",Belgaum,Cement,YES,,1,,1,
"JSW Cement Limited.,Vijajanagar Thorangal Ballary taluk and district",Ballary,Cement,YES,,1,,1,
"Shri Keshav Cements & Infra Ltd., Plant –II,  (Previously known as M/s. Shree Quality Cement Ltd.)Sy. No. 15/4, 88/1A, 88/1B, 88/2, 88/3, 88/4+5+6, Naganapur Village, Mudhol Taluk, Bagalkot District. 
",Bagalkot,Cement,YES,,1,,1,Directions issued  by CPCB to submit action plan to comply with emission Norms on 06.09.17
"Ultra tech Cements, Grinding Unit, Ginegara, Koppal taluk and District",Koppal,Cement,YES,,1,,1,
"Shree Keshav Cements & Infra Ltd. Plant-I (Katwa Udyog Limited), Kaladagi, Bagalkot.",Bagalkot,Cement,YES,,1,,1,Directions issued  by CPCB to submit action plan to comply with emission Norms on 06.09.17
"Heidelberg Cement India Ltd.    (Mysore Cements), Ammasandra, Tumkur District.",Tumkur,Cement,YES,,1,,1,Direction issued by CPCB on 30.08.17 to comply with emisssion Norms
"South India Cements, No.67, Malkhed village,Sedam Taluk Gulbarga District",Gulberga,Cement,NO,NPD issued 14.07.17,0,,1,"Consent issue  is pending, NPD issued,  CPCB is yet to revoke closure order"
"Ratna cements(Yadwad) Ltd., Yedwad Village, Gokak Taluk, Belgaum District",Belgaum,Cement,YES,,1,,1,Closure direction issued by CPCB is revoked on 10.07.17
"Nirani Cements Pvt. Ltd.  Ningapur Industrial Area, Mudhol Taluk,  Bagalkot district.",Bagalkot,Cement,YES,Not operating (2),2,,2,Notice issued on 03.07.17
"Suvarana Karnataka Cement Private Limited, Kanchipura Village, Hosdurga Taluk, Chitradurga District",Chitradurga,Cement,,,2,,2,Closed
"DM Cements Private Limited, Granthapura, Hosdurga Taluk, Chitradurga District",Chitradurga,Cement,,,2,,2,Closed
"Siddaganga Cements Private Limited, Sadarahalli, Chikkanayakanahalli Taluk, Tumkur District",Tumkur,Cement,YES,,1,,NA,Exempted By CPCB for providing CEMS (less than 200 TPD grinding)
"NR Cement Private Limited, Salakattehalli, Chikkanayakanahalli Taluk, Tumkur  District",Tumkur,Cement,YES,,1,,NA,"Stopped clinker grinding. Grinding of GBFS only
Direction issued by CPCB is revoked on 01.09.17"
"Nandi Cement Private Limited, Adityapattana, Tumkur District",Tumkur,Cement,YES,,1,,NA,Exempted By CPCB for providing CEMS (less than 200 TPD grinding)
"Srishaila Private Limited, Sadrahalli, Chikkanayakanahalli Tumkur  District",Tumkur,Cement,YES,,1,,NA,Stopped clinker grinding. Grinding of GBFS only CPCB revoke closure direction on 31.08.17
"Lokapur Cements Limited, Mudhol Taluk, Bagalkot District",Bagalkot,Cement,,Not operating (2),2,,2,Closed
"Katwa Udyog Cements Limited, Yedwad village,.Gokak Taluk,  Belgaum District",Belgaum,Cement,YES,,1,,NA,Exempted By CPCB for providing CEMS (less than 200 TPD grinding)
"Orient Cement Limited, Itagi village, Chittapura taluk, Gulberga distrct",Gulberga,Cement,YES,,1,,1,
"Amruth Distilleries Limited, 13 Mile, Bangalore Mysore Road, Kambipura, Bangalore-74",Bangalore,Distillery,YES,,1,,NA,Consent issued by RSEO
"Anugraha Distilleries Pvt. Ltd., Harihara Taluk, Davangere district",Davangere,Distillery,,Not operating (2),2,,2,Permanently closed
"BT & FC Ltd., Challakere road, Hiriyur-572 144, Chitradurga District",Chitradurga,Distillery,,Not operating (2),2,,2,Permanently closed
"Chamundi Distilleries (P) Ltd., Maliyur, T.Narasipura Taluk, Mysore Dist.",Mysore,Distillery,,Not operating (2),2,,2,Closed
"Nirani Sugars Ltd, (Distillery Unit), Sy. No. 18&19, Malapur Village, Mudhol Tq, Bagalkot Dist.",Bagalkot,Distillery,YES,,1,,1,
"J.P. Distilleries (P) Ltd., Heggadathi Halli, Kunigal Taluk, Tumkur Dist.",Tumkur,Distillery,YES,,1,,1,CPCB revoked directions on 01.08.18
"United Spirits Ltd ( previously Pampasara Distilleries Ltd.), (ISO 14000) Hospet, Bellary District.",Ballary,Distillery,YES,,1,,1,consent pending
"Ravindra & Co. Ltd., Sy No 96 Mallik Mirzapur, Bidar taluk andDistrict.",Bidar,Distillery,YES,,1,,1,
"Indian Cane power Ltd [Previously Samson Distilleries (P) Ltd.,] Duggavathi Village – 583 137, Harappanahally Taluk, Davangere Dist.",Davangere,Distillery,YES,,1,,1,
"SLN Distilleries (p) Ltd., Block No.459, Garaga Village, Dharwad Taluk and District.",Dharwad,Distillery,YES,,1,,1,CPCB revoked  directions on 20.11.17
"Godavari Bio-Refineries(Previously M/s.Somaiya Organo Chemicals,) Sameerwadi-597 316 Bagalkot District. ",Bagalkot,Distillery,YES,,1,,1,
"S.V. Distilleries, Sy.No.112, 113 and 114, Malachapura, Bhalki taluk, Bidar District. ",Bidar,Distillery,,Not operating (2),2,,2,"Closed, CPCB issued directions on 11.08.2016 "
"Siddapura Distilleries Ltd., Siddapur, Jamakhandi Taluk, Bagalkote District",Bagalkot,Distillery,YES,,1,,1,
"Karthik Agro Industries Pvt Ltd
sy.no 92.93, Hooligeri village,  Badamai Taluk, Bagalkote District",Bagalkot,Distillery,YES,,1,,1,"direction issued by CPCB to give action plaNon 13.09.17
Closure order issued on 16.01.18 by CPCB"
"Sri Malaprabha Sahakari Sakkare Karkhane Niyamit (distillery unit),  M.K.Hubli – 591 153, Belgaum District.",Belgaum,Distillery,YES,,1,,1,CPCB revoked  directions on 20.11.17
"Hindustan Distilleries Limited (Gauri Industries), Veeragolla Halli, Gauribidanur, Chikaballapura  District",Chikkaballapura,Distillery,,Not operating (2),2,,2,Permanently closed
"Gemini Distilleries, Chamarajanagar Road, Nanjangud, Mysore District.",Mysore,Distillery,,Not operating (2),2,,2,Permanently closed
"India Breweries & Distilleries Ltd.), Ameerabad PO,  Hallikhed SF, Bidar Dist. ",Bidar,Distillery,,Not operating (2),2,,2,Closed
"Khoday India Ltd., Kannayakana Agrahara, Anekal Taluk, Bangalore District.",Bangalore,Distillery,YES,,1,,1,CPCB issued closure direction on 11.08.16
"Wilson Distilleries Pvt. Ltd., Near Arakere Village, Srirangapatna Taluk,  Mandya District. ",Mandya,Distillery,,Not operating (2),2,,2,Permanently closed
"Sovereign Distilleries Ltd, Sy. No. 89 & 90, Singapur village, Sindhanur Taluk, Raichur District",Raichur,Distillery,,Not operating (2),,,2,Closure order issued on 20.05.14
"Kapchem Ltd., ( Jay Jay Industries Ltd) Belagola, Mysore Taluk and District",Mysore,Distillery,,Not operating (2),2,,2,Permanently closed
"SPR Group Holdings Pvt. Ltd., Sy. NO. 122 &123, Manchanayakanahalli, Bidadi (H), Ramanagar Tq & Dist",Ramanagaram,Distillery,YES,,2,,2,
Sathish Sugars Hunshyal P G village Gokak taluk Belgaum district,Belgaum,Distillery,YES,,1,,1,
"EID Parry India Limited, (GMR Industries) Hullahatti Haliyal taluk U K district",Uttara Kannada,"Sugar, Co-gen and distillery",YES,,1,,1,
"BASF India Ltd., (ISO 14000) Bala Village, Mangalore, D.K. District – 574 149",Mangalore,Dyes and Dye intermidiates ,YES,,1,,1,
"S.F.Dyes Ltd., Lpot No.21 P, KIADB Induatrial Area, Hoskote, Bangalore Rural District",Bangalore Rural,Dyes and Dye intermidiates ,YES,,1,,1,Closure revoked by CPCB on 02.08.17
"Coramandel International Limited (Tungabhadra Fertilizer & Chemicals Ltd.,)survey No.101-102, Koppal District.",Koppal,Fertilizer,YES,,1,,1,
"Mangalore Chemicals & Fertilizers Ltd., Panambur, Mangalore. D.K. Dist.",Dakshina Kannada,Fertilizer,YES,,1,,1,
"KPR Fertilizers Chemicals Ltd., survey No.108 & 109, Halavarthi village, Kunikeri (Post), Koppal taluk & District.",Koppal,Fertilizer,YES,,1,,1,
